===-------------------------------------------------------------------------===
                         Miscellaneous Ungrouped Timers
===-------------------------------------------------------------------------===

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  --- Name ---
   0.2440 (100.0%)   0.0680 (100.0%)   0.3120 (100.0%)   0.3204 (100.0%)  Code Generation Time
   0.2440 (100.0%)   0.0680 (100.0%)   0.3120 (100.0%)   0.3204 (100.0%)  Total

===-------------------------------------------------------------------------===
                      ... Pass execution timing report ...
===-------------------------------------------------------------------------===
  Total Execution Time: 0.2616 seconds (0.2675 wall clock)

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  --- Name ---
   0.0155 (  7.9%)   0.0196 ( 30.3%)   0.0351 ( 13.4%)   0.0351 ( 13.1%)  Automatic array partition transformation
   0.0137 (  7.0%)   0.0190 ( 29.4%)   0.0327 ( 12.5%)   0.0327 ( 12.2%)  Auto automatic array partition analysis
   0.0130 (  6.6%)   0.0035 (  5.4%)   0.0165 (  6.3%)   0.0165 (  6.2%)  Auto automatic array partition analysis
   0.0113 (  5.7%)   0.0035 (  5.4%)   0.0148 (  5.6%)   0.0148 (  5.5%)  Auto automatic array partition analysis
   0.0058 (  2.9%)   0.0000 (  0.0%)   0.0058 (  2.2%)   0.0064 (  2.4%)  Generate HLS compatible IR
   0.0025 (  1.3%)   0.0000 (  0.0%)   0.0025 (  0.9%)   0.0032 (  1.2%)  Auto automatic array partition analysis
   0.0026 (  1.3%)   0.0001 (  0.1%)   0.0027 (  1.0%)   0.0027 (  1.0%)  Dead Store Elimination
   0.0025 (  1.3%)   0.0000 (  0.0%)   0.0025 (  1.0%)   0.0025 (  0.9%)  Memory Summary
   0.0023 (  1.2%)   0.0000 (  0.0%)   0.0023 (  0.9%)   0.0024 (  0.9%)  Detach IR Wrapper
   0.0023 (  1.2%)   0.0000 (  0.0%)   0.0023 (  0.9%)   0.0024 (  0.9%)  Deduce function attributes
   0.0023 (  1.2%)   0.0000 (  0.0%)   0.0023 (  0.9%)   0.0024 (  0.9%)  Inliner for always_inline functions
   0.0019 (  0.9%)   0.0005 (  0.7%)   0.0023 (  0.9%)   0.0023 (  0.9%)  PredicateAnalyzer - Predidate Analysis
   0.0018 (  0.9%)   0.0000 (  0.0%)   0.0018 (  0.7%)   0.0018 (  0.7%)  Dead Store Elimination
   0.0016 (  0.8%)   0.0000 (  0.0%)   0.0016 (  0.6%)   0.0018 (  0.7%)  Special handling of axis with side-channels
   0.0017 (  0.9%)   0.0000 (  0.0%)   0.0018 (  0.7%)   0.0018 (  0.7%)  Dead Store Elimination
   0.0013 (  0.6%)   0.0004 (  0.7%)   0.0017 (  0.7%)   0.0017 (  0.6%)  Dead Store Elimination
   0.0017 (  0.9%)   0.0000 (  0.0%)   0.0017 (  0.7%)   0.0017 (  0.6%)  Dead Store Elimination
   0.0017 (  0.9%)   0.0000 (  0.0%)   0.0017 (  0.7%)   0.0017 (  0.6%)  Dead Store Elimination
   0.0000 (  0.0%)   0.0017 (  2.6%)   0.0017 (  0.7%)   0.0017 (  0.6%)  Dead Store Elimination
   0.0017 (  0.8%)   0.0000 (  0.0%)   0.0017 (  0.6%)   0.0017 (  0.6%)  Bitcode for HLS
   0.0000 (  0.0%)   0.0017 (  2.6%)   0.0017 (  0.6%)   0.0017 (  0.6%)  PredicateAnalyzer - Predidate Analysis
   0.0015 (  0.7%)   0.0000 (  0.0%)   0.0015 (  0.6%)   0.0015 (  0.5%)  Dead Store Elimination
   0.0014 (  0.7%)   0.0000 (  0.0%)   0.0014 (  0.6%)   0.0014 (  0.5%)  Dead Store Elimination
   0.0014 (  0.7%)   0.0000 (  0.0%)   0.0014 (  0.6%)   0.0014 (  0.5%)  Dead Store Elimination
   0.0014 (  0.7%)   0.0000 (  0.0%)   0.0014 (  0.5%)   0.0014 (  0.5%)  Deduce function attributes
   0.0013 (  0.6%)   0.0000 (  0.0%)   0.0013 (  0.5%)   0.0013 (  0.5%)  Lower intermediate type generated by HLSGen
   0.0012 (  0.6%)   0.0000 (  0.0%)   0.0012 (  0.5%)   0.0012 (  0.5%)  AlignMemory - Align memory accesses
   0.0012 (  0.6%)   0.0000 (  0.0%)   0.0012 (  0.5%)   0.0012 (  0.4%)  AlignMemory - Align memory accesses
   0.0012 (  0.6%)   0.0000 (  0.0%)   0.0012 (  0.5%)   0.0012 (  0.4%)  AlignMemory - Align memory accesses
   0.0011 (  0.5%)   0.0000 (  0.0%)   0.0011 (  0.4%)   0.0011 (  0.4%)  AlignMemory - Align memory accesses
   0.0007 (  0.4%)   0.0000 (  0.1%)   0.0007 (  0.3%)   0.0010 (  0.4%)  Memory Summary
